MeasureItem;MeasureItemCategoryID;MeasureItemID;Category;Country;Year;LengthOfCircuits;LengthOfRoutes;NumberOfUnits;ProvidedValue;CreationDate;ProvidedValueCode
Inventory of Transmission;5;422;DCC_110kV_220V;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;FR;2021;117;0;;;28/03/2023;
Inventory of Transmission;5;409;DCC_Over_380kV;FR;2021;295;0;;;28/03/2023;
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;FR;2021;;;13;1478;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;416;Nw_400kV_220kV;FR;2021;;;234;121800;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;FR;2021;;;230;26808;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;FR;2021;;;90;79848;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;GR;2021;1301.6;1301.6;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;GR;2021;31.45;31.45;;;28/03/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;GR;2021;12986.88;8732.75;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;GR;2021;4751.51;2742.68;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;GR;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;GR;2021;;;;"The values for AC Cables of category ""ACC_220kV_380kV"" correspond to 150kV AC cables.";28/03/2023;
Inventory of Transmission;5;426;Comments_3;GR;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;GR;2021;;;;"The values for transformers of category ""Of_PU_>220kV"" correspond to 150kV transformers.";28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;GR;2021;;;63;16990;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;415;Nw_400kV_330kV;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;GR;2021;;;181;13032.7;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;GR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;GR;2021;;;21;7106;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;HR;2021;;;;;28/03/2023;Not Expected
